       0.100509936299E+05        0.233063974349E+03  
       0.111810980646E+05        0.227566476629E+03  
       0.126854277993E+05        0.234831195193E+03  
       0.170971216748E+05        0.228896737643E+03  
       0.208224323083E+05        0.226817290685E+03  
       0.221346350171E+05        0.213628421476E+03  
       0.279949282611E+05        0.244670550161E+03  
       0.294577591332E+05        0.214680999070E+03  
       0.302648405541E+05        0.212214052585E+03  
       0.310965524251E+05        0.235399762343E+03  
       0.317101026358E+05        0.223946655989E+03  
       0.414845141855E+05        0.237153348793E+03  
       0.510239924816E+05        0.219441915644E+03  
       0.526158125910E+05        0.225702315217E+03  
       0.530927596847E+05        0.234302748608E+03  
       0.534357883744E+05        0.244165888208E+03  
       0.534623937876E+05        0.239859013423E+03  
       0.534811032186E+05        0.228741436671E+03  
       0.545917290073E+05        0.225477200763E+03  
       0.561107880799E+05        0.219569863743E+03  
       0.561643088329E+05        0.230740257589E+03  
       0.563285415178E+05        0.224220917725E+03  
       0.577881891711E+05        0.247631739298E+03  
       0.580385678189E+05        0.233694247026E+03  
       0.581485237589E+05        0.234574375727E+03  
       0.584682733786E+05        0.234740319347E+03  
       0.586106533189E+05        0.235396932457E+03  
       0.587710902173E+05        0.234288889730E+03  
       0.588382167739E+05        0.231221767642E+03  
       0.594842201805E+05        0.237080268263E+03  
       0.595771335304E+05        0.229279819204E+03  
       0.596542587596E+05        0.209221662108E+03  
       0.624032652665E+05        0.246119994708E+03  
       0.631436800644E+05        0.232626239588E+03  
       0.631570100714E+05        0.223824920976E+03  
       0.631794573124E+05        0.242828711588E+03  
       0.636697026826E+05        0.220809312288E+03  
       0.643857992931E+05        0.227641788612E+03  
       0.875633570063E+05        0.217068868038E+03  
       0.888741646828E+05        0.235645607545E+03  
       0.898943123810E+05        0.242060247053E+03  
       0.899318929668E+05        0.237808143113E+03  
       0.899688159091E+05        0.258174407669E+03  
       0.900775811693E+05        0.234081954774E+03  
       0.901241055964E+05        0.243449565313E+03  
       0.902593848127E+05        0.229482609460E+03  
       0.902967277404E+05        0.222350403406E+03  
       0.907135678220E+05        0.223187753933E+03  
       0.909467585657E+05        0.234356823369E+03  
       0.909646754270E+05        0.235366516621E+03  
       0.914717504621E+05        0.228589797077E+03  
       0.925829702568E+05        0.240241887550E+03  
       0.939629220721E+05        0.214299354854E+03  
       0.128469186294E+06        0.233108528592E+03  
       0.128715291218E+06        0.229856211599E+03  
       0.129184278046E+06        0.245140016407E+03  
       0.129489084605E+06        0.234440369811E+03  
       0.135593497012E+06        0.220869720502E+03  
       0.135973409095E+06        0.213228444721E+03  
       0.165661151194E+06        0.203081201090E+03  
       0.278394784386E+06        0.226758890236E+03  
       0.114851719746E+07        0.222069868555E+03  
       0.119669684801E+07        0.209815491584E+03  
       0.119802073167E+07        0.224259462053E+03  
       0.124961003310E+07        0.232971491659E+03  
       0.125545667281E+07        0.226150255474E+03  
       0.125889741065E+07        0.225645790509E+03  
       0.126580853233E+07        0.210479973195E+03  
       0.131658480368E+07        0.220723978581E+03  
       0.147682683300E+07        0.200904298884E+03  
       0.149508389318E+07        0.215147883918E+03  
       0.150048032506E+07        0.228030493156E+03  
       0.150515955225E+07        0.220185524949E+03  
       0.150572931371E+07        0.224791662462E+03  
