      -0.153973829482E+04        0.276548449577E+00       -0.153946174637E+04 
      -0.153892007367E+04        0.194726334746E+00       -0.153872534733E+04 
      -0.153965049483E+04        0.267768450419E+00       -0.153938272638E+04 
      -0.153960265854E+04        0.262984822120E+00       -0.153933967372E+04 
      -0.153886765648E+04        0.189484615596E+00       -0.153867817186E+04 
      -0.153745806579E+04        0.485255472178E-01       -0.153740954025E+04 
      -0.154000478135E+04        0.303197102367E+00       -0.153970158424E+04 
      -0.153834014060E+04        0.136733028069E+00       -0.153820340757E+04 
      -0.153818690231E+04        0.121409198521E+00       -0.153806549311E+04 
      -0.153935425502E+04        0.238144470147E+00       -0.153911611055E+04 
      -0.153930531550E+04        0.233250517690E+00       -0.153907206498E+04 
      -0.154013667106E+04        0.316386073645E+00       -0.153982028498E+04 
      -0.153906046815E+04        0.208765782819E+00       -0.153885170237E+04 
      -0.153922106411E+04        0.224825378436E+00       -0.153899623873E+04 
      -0.153914154953E+04        0.216873920787E+00       -0.153892467561E+04 
      -0.153884519825E+04        0.187238793108E+00       -0.153865795946E+04 
      -0.153803603169E+04        0.106322137093E+00       -0.153792970956E+04 
      -0.153817933082E+04        0.120652049374E+00       -0.153805867877E+04 
      -0.153852724592E+04        0.155443560178E+00       -0.153837180236E+04 
      -0.153864694419E+04        0.167413386685E+00       -0.153847953080E+04 
      -0.153860373267E+04        0.163092235303E+00       -0.153844064044E+04 
      -0.153830684247E+04        0.133403215001E+00       -0.153817343926E+04 
      -0.153943419866E+04        0.246138833819E+00       -0.153918805983E+04 
      -0.153852321307E+04        0.155040274432E+00       -0.153836817279E+04 
      -0.153869924249E+04        0.172643216481E+00       -0.153852659927E+04 
      -0.153893566520E+04        0.196285487576E+00       -0.153873937971E+04 
      -0.153859624771E+04        0.162343739236E+00       -0.153843390397E+04 
      -0.153893592887E+04        0.196311854516E+00       -0.153873961701E+04 
      -0.153828017885E+04        0.130736853253E+00       -0.153814944200E+04 
      -0.153905466767E+04        0.208185734465E+00       -0.153884648193E+04 
      -0.153824611483E+04        0.127330451076E+00       -0.153811878438E+04 
      -0.153842962631E+04        0.145681599062E+00       -0.153828394471E+04 
